GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit5-mps-uma,coladoble,DoubleLinkedQueueException,0,4,0,0,0,2,0,1,0,1
junit5-mps-uma,coladoble,LinkedNode,0,57,0,8,0,17,0,14,0,10
junit5-mps-uma,coladoble,DoubleLinkedList,0,147,0,12,0,44,0,14,0,8
